comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ALUMBRA;2.0TD;TOPACIO;CONS. 30.000 - 40.000 KW;;;650,00 €;552,50 €;520,00 €;468,00 €;52,00 €;416,00 €;104,00 €;260,00 €;260,00 €
ALUMBRA;2.0TD;TOPACIO;CONS. 40.000 - 50.000 KW;;;809,00 €;687,65 €;647,20 €;582,48 €;64,72 €;517,76 €;129,44 €;323,60 €;323,60 €
ALUMBRA;2.0TD;TOPACIO;CONS. 50.000 - 70.000 KW;;;1.238,00 €;1.052,30 €;990,40 €;891,36 €;99,04 €;792,32 €;198,08 €;495,20 €;495,20 €
ALUMBRA;2.0TD;TOPACIO;CONS. 70.000 - 100.000 KW;;;1.459,00 €;1.240,15 €;1.167,20 €;1.050,48 €;116,72 €;933,76 €;233,44 €;583,60 €;583,60 €
ALUMBRA;2.0TD;TOPACIO;CONS. > 100.000 KW;;;1.592,00 €;1.353,20 €;1.273,60 €;1.146,24 €;127,36 €;1.018,88 €;254,72 €;636,80 €;636,80 €
ALUMBRA;3.0TD;TOPACIO;CONS. 0 - 5.000 KW;;;264,00 €;224,40 €;211,20 €;190,08 €;21,12 €;168,96 €;42,24 €;105,60 €;105,60 €
ALUMBRA;3.0TD;TOPACIO;CONS. 5.000 - 10.000 KW;;;362,00 €;307,70 €;289,60 €;260,64 €;28,96 €;231,68 €;57,92 €;144,80 €;144,80 €
ALUMBRA;3.0TD;TOPACIO;CONS. 10.000 - 20.000 KW;;;474,00 €;402,90 €;379,20 €;341,28 €;37,92 €;303,36 €;75,84 €;189,60 €;189,60 €
ALUMBRA;3.0TD;TOPACIO;CONS. 20.000 - 30.000 KW;;;651,00 €;553,35 €;520,80 €;468,72 €;52,08 €;416,64 €;104,16 €;260,40 €;260,40 €
ALUMBRA;3.0TD;TOPACIO;CONS. 30.000 - 40.000 KW;;;752,00 €;639,20 €;601,60 €;541,44 €;60,16 €;481,28 €;120,32 €;300,80 €;300,80 €
ALUMBRA;3.0TD;TOPACIO;CONS. 40.000 - 50.000 KW;;;852,00 €;724,20 €;681,60 €;613,44 €;68,16 €;545,28 €;136,32 €;340,80 €;340,80 €
ALUMBRA;3.0TD;TOPACIO;CONS. 50.000 - 70.000 KW;;;1.143,00 €;971,55 €;914,40 €;822,96 €;91,44 €;731,52 €;182,88 €;457,20 €;457,20 €
ALUMBRA;3.0TD;TOPACIO;CONS. 70.000 - 100.000 KW;;;1.433,00 €;1.218,05 €;1.146,40 €;1.031,76 €;114,64 €;917,12 €;229,28 €;573,20 €;573,20 €
ALUMBRA;3.0TD;TOPACIO;CONS. 100.000 - 150.000 KW;;;1.967,00 €;1.671,95 €;1.573,60 €;1.416,24 €;157,36 €;1.258,88 €;314,72 €;786,80 €;786,80 €
