comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 50.001 - 75.000 KW;;;879,00 €;747,15 €;703,20 €;632,88 €;70,32 €;562,56 €;140,64 €;351,60 €;351,60 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 75.001 - 100.000 KW;;;908,00 €;771,80 €;726,40 €;653,76 €;72,64 €;581,12 €;145,28 €;363,20 €;363,20 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 100.001 - 150.000 KW;;;1.134,00 €;963,90 €;907,20 €;816,48 €;90,72 €;725,76 €;181,44 €;453,60 €;453,60 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 150.001 - 200.000 KW;;;1.590,00 €;1.351,50 €;1.272,00 €;1.144,80 €;127,20 €;1.017,60 €;254,40 €;636,00 €;636,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 200.001 - 300.000 KW;;;2.035,00 €;1.729,75 €;1.628,00 €;1.465,20 €;162,80 €;1.302,40 €;325,60 €;814,00 €;814,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 300.001 - 500.000 KW;;;2.960,00 €;2.516,00 €;2.368,00 €;2.131,20 €;236,80 €;1.894,40 €;473,60 €;1.184,00 €;1.184,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 500.001 - 750.000 KW;;;4.258,00 €;3.619,30 €;3.406,40 €;3.065,76 €;340,64 €;2.725,12 €;681,28 €;1.703,20 €;1.703,20 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 750.001 - 1.000.000 KW;;;5.702,00 €;4.846,70 €;4.561,60 €;4.105,44 €;456,16 €;3.649,28 €;912,32 €;2.280,80 €;2.280,80 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 1.000.001 - 1.250.000 KW;;;7.250,00 €;6.162,50 €;5.800,00 €;5.220,00 €;580,00 €;4.640,00 €;1.160,00 €;2.900,00 €;2.900,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE2;CONS. 1.250.001 - 3.000.000 KW;;;8.500,00 €;7.225,00 €;6.800,00 €;6.120,00 €;680,00 €;5.440,00 €;1.360,00 €;3.400,00 €;3.400,00 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 0 - 1.500 KW;;;51,00 €;43,35 €;40,80 €;36,72 €;4,08 €;32,64 €;8,16 €;20,40 €;20,40 €
TOTAL_PYME;2.0TD;CLASICA BASE TE3;CONS. 1.501 - 3.000 KW;;;86,00 €;73,10 €;68,80 €;61,92 €;6,88 €;55,04 €;13,76 €;34,40 €;34,40 €
